"ID","Requirement","Priority","Target","Verify"
"PRV-006","The system shall default usage analytics and content telemetry to disabled.","P0","R1","Inspect/Test"
"PRV-007","Where analytics are enabled, the system shall provide a data inventory and allow the user to disable analytics without affecting core recording.","P0","R11","Audit/Demo"
"PRV-008","The system shall not include raw audio, transcript text, participant names, meeting titles, local model prompts, embeddings, or connector secrets in telemetry unless the user explicitly attaches reviewed files to a support report.","P0","R11","Audit/Test"
"PRV-009","When the user creates a diagnostic bundle, the system shall preview included files and redact secrets by default.","P0","R11","Test/Demo"
"PRV-010","The system shall store optional connector and self-hosted synchronization credentials using the operating system credential store or an equivalently protected secrets mechanism.","P0","R1","Inspect/Test"
"PRV-011","The system shall encrypt sensitive local meeting data at rest where the user or administrator enables library encryption.","P1","R8","Inspect/Test"
"PRV-012","Where library encryption is enabled, the system shall require an authenticated unlock method before exposing meeting content.","P1","R8","Test/Demo"
"PRV-013","If encryption keys are unavailable, the system shall not silently create an unencrypted replacement library.","P0","R8","Test"
"PRV-014","The system shall provide clear controls to delete a meeting, its media, transcript, artifacts, local index entries, speaker profiles where selected, and integration payloads under Menie control.","P0","R5","Test/Demo"
"PRV-015","When a meeting is deleted, the system shall remove it from full-text and vector indexes within the configured deletion service level.","P0","R6","Test"
"PRV-016","Where a trash period is configured, the system shall explain that content remains recoverable until the trash period expires.","P1","R5","Demo"
"PRV-017","When secure deletion is requested and supported by the storage medium, the system shall perform the configured deletion procedure and record the result.","P2","R8","Test/Audit"
"PRV-018","The system shall allow users to export a machine-readable inventory of stored meetings, media, transcripts, artifacts, and indexes.","P1","R7","Test/Demo"
"PRV-019","The system shall present a recording-consent reminder that can be configured by jurisdiction, organization, or user preference.","P0","R2","Demo/Inspect"
"PRV-020","Where an audible consent notice is enabled, the system shall play the notice before normal capture begins and record that the notice was played.","P1","R2","Test/Demo"
"PRV-021","Where visual consent acknowledgment is enabled, the system shall store the user-entered acknowledgment with the meeting metadata.","P1","R2","Test/Demo"
"PRV-022","The system shall display an unambiguous recording indicator while any audio or video capture is active.","P0","R2","Test/Demo"
"PRV-023","When the user activates Privacy Pause, the system shall stop persisting audio and transcript content until capture is resumed.","P0","R2","Test/Demo"
"PRV-024","While Privacy Pause is active, the system shall display the paused state continuously and shall not process buffered content recorded after the pause boundary.","P0","R2","Test"
"PRV-025","The system shall enforce local-only AI processing and allow administrators to restrict optional connectors, exports, sharing modes, model imports, and synchronization destinations.","P1","R8","Test/Audit"
"PRV-026","If a policy prohibits an optional connector, export, share, model import, or synchronization destination, the system shall block the action and identify affected queued jobs.","P0","R8","Test/Demo"
"PRV-027","The system shall record local model, quantization, runtime version, template, prompt version, transcript version, context settings, and generation configuration for every artifact.","P0","R4","Test/Audit"
"PRV-028","The system shall provide data-retention rules by workspace, project, meeting type, and artifact class.","P1","R8","Test/Demo"
"PRV-029","Where a legal hold applies, the system shall prevent deletion by unauthorized users and record attempted deletion events.","P2","R8","Test/Audit"
"PRV-030","The system shall provide a privacy report that summarizes local models, storage locations, network egress policy, retention rules, optional integrations, synchronization, telemetry, encryption, and no-egress test status.","P1","R11","Demo/Audit"
"QLT-001","The system shall isolate capture from failures in transcription, summarization, indexing, integrations, and UI rendering.","P0","R0","Test"
"QLT-002","The system shall implement idempotent processing jobs with durable state, retries, cancellation, and resumability.","P0","R0","Test"
"QLT-003","If a processing job fails, the system shall preserve source data and provide a user-actionable error.","P0","R0","Test/Demo"
"QLT-004","The system shall maintain versioned database migrations with backup-before-migration and rollback guidance.","P0","R0","Test"
"QLT-005","If a database migration fails, the system shall preserve the pre-migration library and prevent partial normal use.","P0","R0","Test"
"QLT-006","The system shall verify application and model update signatures before installation.","P0","R11","Test/Inspect"
"QLT-007","The system shall support stable, beta, and development release channels.","P1","R11","Test/Demo"
"QLT-008","Where automatic application updates are enabled, the system shall allow postponement during active recording or processing.","P0","R11","Test"
"QLT-009","If an update fails health checks, the system shall offer rollback to the previous working version.","P0","R11","Test"
"QLT-010","The system shall publish a supported operating-system, hardware, local model, language, quantization, and optional integration compatibility matrix.","P0","R11","Inspect"
"QLT-011","The system shall define and enforce performance budgets for capture CPU, dropped frames, transcript latency, Gemma model loading, local summary latency, local RAG, memory, indexing throughput, search latency, and UI responsiveness.","P0","R11","Perf"
"QLT-012","The system shall measure capture dropped frames and buffer overruns without recording meeting content in telemetry.","P1","R11","Test/Perf"
"QLT-013","The desktop application shall remain responsive to stop and privacy-pause commands under the maximum supported processing load.","P0","R11","Perf/Test"
"QLT-014","The system shall provide progress, cancellation, and estimated work remaining for long-running local processing.","P1","R11","Demo"
"QLT-015","The system shall avoid blocking the primary UI thread with model loading, indexing, export, or integration operations.","P0","R11","Perf/Test"
"QLT-016","The system shall support keyboard-only operation for all core workflows.","P0","R11","Audit/Demo"
"QLT-017","The system shall expose semantic names, roles, states, and relationships to screen readers.","P0","R11","Audit"
"QLT-018","The system shall provide sufficient color contrast and shall not use color as the only status indicator.","P0","R11","Audit"
"QLT-019","The system shall support scalable text and layouts without clipping at the defined zoom levels.","P0","R11","Audit/Demo"
"QLT-020","The system shall provide captions or transcripts for product tutorial media.","P1","R11","Audit"
"QLT-021","The system shall support light, dark, and system appearance modes.","P1","R11","Demo"
"QLT-022","The system shall provide localization infrastructure that separates UI strings from code.","P0","R11","Inspect/Test"
"QLT-023","The system shall support locale-aware dates, times, numbers, names, and first-day-of-week behavior.","P1","R11","Test"
"QLT-024","The system shall support right-to-left layout for approved locales.","P1","R11","Audit/Demo"
"QLT-025","The system shall preserve original spoken language and user-selected output language independently.","P0","R4","Test"
"QLT-026","The system shall pass an automated zero-egress test for recording, transcription, diarization, Gemma summarization, embedding generation, retrieval, meeting chat, artifact generation, and library search.","P0","R11","Test/Audit"
"QLT-027","The system shall validate TLS certificates for optional connectors and self-hosted synchronization endpoints and shall not provide an unsafe bypass in normal UI.","P0","R11","Test/Inspect"
"QLT-028","The system shall protect against path traversal, malicious media, malformed imports, prompt injection, and untrusted connector payloads.","P0","R11","Test/Inspect"
"QLT-029","The system shall scan third-party dependencies and local model artifacts for known security, integrity, provenance, and license risks before release.","P0","R11","Audit"
"QLT-030","The system shall maintain a software bill of materials for released application and server packages.","P1","R11","Audit"
"QLT-031","The system shall provide a documented vulnerability reporting and response process.","P0","R11","Inspect"
"QLT-032","The system shall support privacy-safe local logs with configurable levels and retention.","P1","R11","Test/Demo"
"QLT-033","The system shall redact secrets and user content from logs by default.","P0","R11","Test/Audit"
"QLT-034","When the user requests support, the system shall allow a diagnostic bundle to be reviewed before submission.","P0","R11","Test/Demo"
"QLT-035","The system shall provide health checks for the local Gemma runtime, transcription runtime, database, media storage, local indexes, model files, optional connectors, and private synchronization.","P1","R11","Test/Demo"
"QLT-036","The system shall maintain automated unit, integration, contract, migration, UI, performance, security, and cross-platform smoke tests.","P0","R11","Audit"
"QLT-037","The system shall use versioned golden audio fixtures to detect transcription, diarization, and timestamp regressions.","P0","R11","Test"
"QLT-038","The system shall use a versioned evaluation corpus to detect local summary, extraction, retrieval, citation, latency, memory, and no-egress regressions.","P0","R11","Test/Audit"
"QLT-039","A local model, quantization, prompt, template, runtime, or retrieval change shall not be promoted when it breaches an agreed quality, privacy, stability, or performance threshold.","P0","R11","Test/Audit"
"QLT-040","The system shall expose a documented local extension or plugin interface only through explicit permissions and versioned contracts.","P2","R7","Inspect/Test"
"QLT-041","A plugin shall declare the data types, meetings, network destinations, and actions it requests.","P1","R7","Test/Inspect"
"QLT-042","Before enabling a plugin, the system shall show requested permissions and obtain user or administrator approval.","P0","R7","Test/Demo"
"QLT-043","The system shall isolate plugin failure from capture and primary library integrity.","P0","R7","Test"
"QLT-044","The system shall allow a plugin to be disabled and removed without deleting core meeting data.","P1","R7","Test"
"QLT-045","The system shall document stable local extension points for approved models, templates, exporters, connectors, and insight rules without exposing an external AI provider interface.","P1","R7","Inspect"
"QLT-046","The system shall preserve backward compatibility for published export and webhook schemas according to the documented support policy.","P1","R11","Test/Audit"
"QLT-047","The system shall provide feature flags and safe rollout controls for high-risk capture, AI, synchronization, and integration changes.","P1","R11","Test"
"QLT-048","The system shall provide release notes that distinguish new, changed, fixed, deprecated, and security-relevant behavior.","P0","R11","Inspect"
"QLT-049","The system shall provide an in-product migration and deprecation notice before removing a supported local model, quantization, schema, export format, or workflow.","P1","R11","Demo"
"QLT-050","The system shall meet the defined crash-free session, capture success, processing success, and data-loss service-level objectives before general availability.","P0","R11","Perf/Audit"
"TEAM-001","The system shall support Local Personal, Encrypted Peer-to-Peer Team, and Self-Hosted Private Team deployment modes and shall not require a managed cloud account.","P1","R8","Inspect/Test"
"TEAM-002","The system shall allow a user to create or join one or more workspaces.","P1","R8","Test/Demo"
"TEAM-003","The system shall support workspace roles for Owner, Administrator, Member, Reviewer, and Guest.","P0","R8","Test/Audit"
"TEAM-004","The system shall support group-based permissions and project-level membership.","P1","R8","Test/Audit"
"TEAM-005","The system shall enforce authorization before listing, searching, retrieving, generating from, exporting, sharing, or integrating meeting data.","P0","R8","Test/Audit"
"TEAM-006","The system shall allow meeting owners to grant read, comment, edit, approve, export, and manage permissions independently.","P1","R8","Test/Demo"
"TEAM-007","The system shall support comments, mentions, and threaded discussion on meetings, transcript segments, actions, decisions, and artifacts.","P1","R8","Test/Demo"
"TEAM-008","When a user is mentioned, the system shall create a notification that links to the referenced object.","P1","R8","Test/Demo"
"TEAM-009","The system shall allow action items to be assigned to workspace members and external email participants.","P1","R8","Test/Demo"
"TEAM-010","The system shall allow reviewers to approve or reject artifacts and outbound actions with comments.","P1","R8","Test/Demo"
"TEAM-011","The system shall support shared template libraries with versioning and permission controls.","P1","R8","Test"
"TEAM-012","The system shall support shared vocabulary and approved speaker directories scoped by workspace or project.","P1","R8","Test/Demo"
"TEAM-013","Before a voice profile is shared across a workspace, the system shall enforce configured consent and policy requirements.","P0","R8","Test/Audit"
"TEAM-014","The system shall synchronize approved meetings, edits, tasks, decisions, comments, and configuration through encrypted peer-to-peer or self-hosted channels according to workspace policy.","P1","R8","Test"
"TEAM-015","While a device is offline, the system shall allow permitted local work and queue synchronization operations.","P1","R8","Test/Demo"
"TEAM-016","When concurrent edits conflict, the system shall preserve both versions and provide a resolution workflow.","P0","R8","Test/Demo"
"TEAM-017","The system shall not silently discard a user edit during synchronization.","P0","R8","Test"
"TEAM-018","Where private team synchronization is enabled, the system shall encrypt eligible content before it leaves the client device.","P1","R8","Inspect/Test"
"TEAM-019","The system shall keep transcription, summarization, embeddings, retrieval, and meeting chat on authorized client devices; a synchronization server shall not require plaintext access to perform AI processing.","P1","R8","Demo/Inspect"
"TEAM-020","The system shall support OIDC-based single sign-on for team deployments.","P1","R8","Test"
"TEAM-021","The system shall support SCIM-compatible user and group provisioning for enterprise deployments.","P2","R8","Test"
"TEAM-022","The system shall support administrator-enforced MFA, session duration, device, and reauthentication policies where the identity provider supports them.","P1","R8","Test/Audit"
"TEAM-023","The system shall provide immutable audit events for authentication, access, edits, exports, shares, policy changes, connector actions, and deletion.","P0","R8","Test/Audit"
"TEAM-024","The system shall allow authorized administrators to search and export audit events.","P1","R8","Test/Demo"
"TEAM-025","The system shall provide retention policies by workspace, project, meeting type, and content class.","P1","R8","Test"
"TEAM-026","Where legal hold is applied, the system shall preserve covered content and record policy changes.","P2","R8","Test/Audit"
"TEAM-027","The system shall support explicit storage-region and infrastructure controls for self-hosted private deployments.","P2","R8","Inspect/Test"
"TEAM-028","The system shall enforce local-only AI and allow administrators to restrict integration destinations, share links, export formats, model imports, and mobile synchronization.","P1","R8","Test/Audit"
"TEAM-029","The system shall provide an administrator view of storage, indexing, processing queues, approved local model usage, synchronization health, connector health, and policy violations without exposing meeting content unnecessarily.","P1","R8","Demo"
"TEAM-030","The system shall support workspace backup, restore, and disaster-recovery procedures with integrity verification.","P0","R8","Test/Audit"
"TEAM-031","When a user is removed from a workspace, the system shall revoke access tokens and apply the configured ownership-transfer and content-retention policy.","P0","R8","Test/Audit"
"TEAM-032","The system shall allow a user to export personal content permitted by workspace policy before offboarding.","P1","R8","Test/Demo"
"TEAM-033","The system shall provide signed, versioned, and rollback-capable self-hosted upgrades.","P0","R11","Test"
"TEAM-034","The system shall expose health checks and metrics suitable for self-hosted monitoring without exposing meeting content.","P1","R11","Test/Inspect"
"TEAM-035","The system shall provide workspace-isolation and authorization tests for self-hosted multi-workspace deployments.","P0","R11","Test/Audit"
"TEAM-036","The system shall document feature differences and privacy implications across Local Personal, Encrypted Peer-to-Peer Team, and Self-Hosted Private Team modes.","P0","R8","Inspect"
"TRN-001","The system shall support at least one fully local transcription path on every supported desktop platform.","P0","R3","Test"
"TRN-002","The system shall provide a versioned adapter interface for approved local Whisper, Parakeet, diarization, and user-imported compatible transcription models without exposing external transcription endpoints.","P1","R3","Inspect/Test"
"TRN-003","When transcription starts, the system shall record the local model, version, language mode, decoding settings, hardware backend, and local runtime provenance.","P0","R3","Test/Audit"
"TRN-004","While live transcription is enabled, the system shall display provisional text separately from confirmed transcript segments.","P0","R3","Test/Demo"
"TRN-005","When provisional words become stable according to the active decoder policy, the system shall commit them as confirmed segments.","P0","R3","Test"
"TRN-006","If a provisional hypothesis changes, the system shall update it without creating duplicate confirmed text.","P0","R3","Test"
"TRN-007","The system shall preserve word- or segment-level timestamps sufficient to navigate from text to media.","P0","R3","Test"
"TRN-008","The system shall preserve source-track attribution for every transcript segment.","P0","R3","Test"
"TRN-009","When microphone and system tracks are separate, the system shall label microphone speech as the local participant before full speaker identification.","P0","R3","Test/Demo"
"TRN-010","The system shall support automatic spoken-language detection and explicit user selection.","P0","R3","Test/Demo"
"TRN-011","If automatic language confidence is below the configured threshold, the system shall request confirmation before final processing.","P1","R3","Test/Demo"
"TRN-012","The system shall allow a meeting to contain multiple identified languages and shall preserve the language of each segment.","P1","R3","Test"
"TRN-013","The system shall allow the summary output language to differ from the spoken language.","P0","R4","Test/Demo"
"TRN-014","The system shall expose model language limitations before a meeting begins.","P0","R1","Demo"
"TRN-015","The system shall allow users to create reusable vocabulary lists for names, organizations, products, acronyms, and domain terminology.","P0","R3","Test/Demo"
"TRN-016","When a meeting is assigned to a project or client, the system shall apply the configured vocabulary hints for that scope.","P1","R3","Test"
"TRN-017","The system shall allow users to correct transcript text inline while preserving the original machine output in revision history.","P0","R4","Test/Demo"
"TRN-018","When a user corrects a recurring proper noun, the system shall offer to add the correction to the relevant vocabulary scope.","P1","R3","Test/Demo"
"TRN-019","The system shall allow users to select a transcript range and re-transcribe it with a selected model or language.","P1","R3","Test/Demo"
"TRN-020","When a transcript range is reprocessed, the system shall preserve user edits outside the selected range.","P0","R3","Test"
"TRN-021","When a whole meeting is re-transcribed, the system shall create a new transcript version rather than silently replacing the previous version.","P0","R3","Test"
"TRN-022","The system shall allow users to compare transcript versions and choose the active version.","P1","R4","Demo"
"TRN-023","The system shall represent diarization speakers independently from named people so labels can be corrected without reprocessing audio.","P0","R3","Inspect/Test"
"TRN-024","When diarization completes, the system shall assign every speech segment to a speaker label or explicitly mark it unassigned.","P0","R3","Test"
"TRN-025","The system shall allow users to rename a diarized speaker and propagate the name across the selected meeting.","P0","R3","Test/Demo"
"TRN-026","When a speaker name is changed, the system shall update dependent summaries, tasks, and decisions only after user approval or explicit regeneration.","P0","R4","Test/Demo"
"TRN-027","The system shall allow users to merge two diarized speakers when one person was split into multiple labels.","P0","R3","Test/Demo"
"TRN-028","The system shall allow users to split incorrectly merged speaker segments and reassign selected segments.","P1","R3","Test/Demo"
"TRN-029","Where speaker memory is enabled, the system shall store voice profiles locally or in the approved workspace boundary.","P1","R3","Inspect/Test"
"TRN-030","Before creating a reusable speaker profile, the system shall obtain user confirmation and display the profile scope and deletion controls.","P0","R3","Test/Demo"
"TRN-031","When a known speaker is detected above the confidence threshold, the system shall suggest the identity and allow correction.","P1","R3","Test/Demo"
"TRN-032","If speaker identity confidence is below the threshold, the system shall retain a generic speaker label rather than assert a name.","P0","R3","Test"
"TRN-033","The system shall allow a speaker profile and its voice embedding to be deleted independently of meeting transcripts.","P0","R3","Test/Demo"
"TRN-034","The system shall not infer sensitive personal attributes from voice.","P0","R11","Audit/Inspect"
"TRN-035","The system shall distinguish diarization confidence from speech-recognition confidence in data and UI.","P1","R3","Test/Demo"
"TRN-036","The system shall highlight low-confidence transcript words or segments when confidence display is enabled.","P1","R3","Demo"
"TRN-037","When confidence display is disabled, the system shall retain confidence metadata for later review and quality evaluation.","P1","R3","Test"
"TRN-038","The system shall provide an audio-follow mode that highlights the currently playing transcript segment.","P0","R4","Test/Demo"
"TRN-039","When the user selects a transcript segment, the system shall seek media playback to the corresponding timestamp.","P0","R4","Test/Demo"
"TRN-040","The system shall support search-and-replace across the active transcript with preview and undo.","P1","R4","Test/Demo"
"TRN-041","The system shall prevent overlapping or out-of-order segment edits from corrupting the meeting timeline.","P0","R4","Test"
"TRN-042","The system shall maintain a transcript revision history including actor, timestamp, and change summary.","P1","R8","Test/Audit"
"TRN-043","If live transcription falls behind the configured latency budget, the system shall display the lag and prioritize catch-up after capture safety.","P0","R3","Perf/Test"
"TRN-044","The system shall provide a per-model benchmark report including measured real-time factor, memory use, language support, and evaluation-set accuracy.","P1","R11","Perf/Demo"
"TRN-045","Where custom local transcription models are allowed, the system shall validate model compatibility and isolate model failures from the capture process.","P1","R3","Test"
"TRN-046","If the selected local transcription model becomes unavailable or fails, the system shall retain the queued job and offer retry, an installed local alternative, Record Only, or deferred local processing.","P0","R3","Test/Demo"
"TRN-047","The system shall support batch transcription of imported audio with progress, cancellation, and resumability.","P1","R3","Test/Demo"
"TRN-048","The system shall preserve a machine-readable alignment between transcript versions and source media.","P1","R7","Test"
